id;symbol;name;quantity;purchase_price;current_price
1;growling mistreat;dull;11382;24390.56;18617
2;whenever;unethically;4672;24301.1;826.28
3;medium;furthermore spectacular;6450;19041.1;22843.52
4;tomato;crystallize busily;20174;3637.92;26725.78
5;duh respectful;altruistic;2992;2253.75;28817.88
6;mouser;inasmuch zowie;6704;15090.44;7619.68
7;phew blah;annually;20620;14621.61;19857.4
8;syndicate dearly terribly;likewise fooey;12698;19221.34;2173.72
9;amid;usually narrow;25586;19453.1;15238.05
10;elver ouch gosh;interaction electrocardiogram advanced;22370;17127.03;17726.58
